name,team,opponent_team,date,was_home,position,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_expected_goals_conceded,last_season_clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Joachim Andersen,Crystal Palace,Arsenal,2022-08-05,True,DC,90,0.0,0.0,0.0,0.39,1,0.0,1.0,5.6,0,0,2,0.0,False,0.0,0.0,90.0,0.0,0,0,0,0,2,Crystal Palace,True,Leicester City,-0.38,0.83
Joachim Andersen,Crystal Palace,Leicester City,2022-10-09,True,DC,90,0.0,0.53,0.0,0.0,2,2.0,0.0,4.3,0,0,1,0.0,False,1.0,0.0,90.0,0.0,0,0,0,0,5,Crystal Palace,False,Leeds United,2.13,-0.8
Joachim Andersen,Crystal Palace,Leeds United,2022-10-15,False,DC,90,0.0,0.0,0.0,0.0,5,0.0,0.0,1.5,0,1,0,0.0,False,1.5,0.26,90.0,0.33,0,0,0,0,2,Crystal Palace,True,Wolverhampton,-2.67,-0.48
Joachim Andersen,Crystal Palace,Wolverhampton,2022-10-18,True,DC,90,0.0,0.1,0.0,0.0,2,2.0,0.0,3.0,0,0,1,0.0,False,2.67,0.18,90.0,0.25,0,0,0,0,1,Crystal Palace,False,Everton,2.41,-0.63
Joachim Andersen,Crystal Palace,Everton,2022-10-22,False,DC,90,0.0,0.06,0.0,0.0,1,1.0,0.0,3.9,0,0,3,0.0,False,2.5,0.16,90.0,0.2,0,0,0,0,6,Crystal Palace,True,Southampton,0.54,-0.38
Joachim Andersen,Crystal Palace,Southampton,2022-10-29,True,DC,90,0.0,0.03,0.0,0.0,6,1.0,0.0,4.0,0,1,0,0.0,False,2.2,0.14,90.0,0.33,0,0,0,0,2,Crystal Palace,False,West Ham,0.59,0.14
Joachim Andersen,Crystal Palace,West Ham,2022-11-06,False,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.3,0,0,1,0.0,False,3.2,0.15,90.0,0.29,0,0,0,0,2,Crystal Palace,False,Nottingham Forest,,
Joachim Andersen,Crystal Palace,Nottingham Forest,2022-11-12,False,DC,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.9,0,0,1,1.09,True,3.2,0.04,90.0,0.25,0,0,0,0,1,Crystal Palace,True,Fulham,,-0.3
Joachim Andersen,Crystal Palace,Fulham,2022-12-26,True,DC,90,0.0,0.13,0.0,0.0,1,1.0,0.0,3.3,0,0,3,2.61,True,2.6,0.04,90.0,0.22,0,0,0,0,5,Crystal Palace,False,Bournemouth,,0.19
Joachim Andersen,Crystal Palace,Bournemouth,2022-12-31,False,DC,90,0.0,0.0,0.0,0.0,5,0.0,0.0,2.2,0,1,0,0.56,True,2.4,0.05,90.0,0.3,0,0,0,0,0,Crystal Palace,True,Tottenham,-5.01,1.07
Joachim Andersen,Crystal Palace,Tottenham,2023-01-04,True,DC,90,0.0,0.06,0.0,0.0,0,2.0,0.0,3.6,0,0,4,1.39,True,3.2,0.03,90.0,0.27,0,0,0,0,1,Crystal Palace,False,Liverpool,7.24,-1.33
Joachim Andersen,Crystal Palace,Liverpool,2022-08-15,False,DC,90,0.0,0.45,0.0,0.0,1,1.0,0.0,4.8,0,0,1,0.0,False,2.0,0.04,90.0,0.25,0,0,0,0,1,Crystal Palace,False,Chelsea,2.77,-0.72
Joachim Andersen,Crystal Palace,Chelsea,2023-01-15,False,DC,37,0.0,0.0,0.0,0.0,1,0.0,0.0,0.7,0,0,0,0.29,True,1.8,0.13,85.92,0.25,0,0,0,0,0,Crystal Palace,True,Manchester United,-0.9,0.38
Joachim Andersen,Crystal Palace,Manchester United,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.6,0.13,79.79,0.25,0,0,0,0,0,Crystal Palace,True,Newcastle United,1.62,0.73
Joachim Andersen,Crystal Palace,Newcastle United,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.4,0.1,74.47,0.25,0,0,0,0,0,Crystal Palace,False,Manchester United,0.74,-0.1
Joachim Andersen,Crystal Palace,Manchester United,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.4,0.1,69.81,0.25,0,0,0,0,0,Crystal Palace,True,Brighton,-0.1,-0.71
Joachim Andersen,Crystal Palace,Brighton,,True,,0,,,,,0,,,0.0,0,0,0,0.0,False,0.4,0.09,65.71,0.25,0,0,0,0,1,Crystal Palace,False,Brentford,1.96,-0.55
Joachim Andersen,Crystal Palace,Brentford,2023-02-18,False,DC,90,0.0,0.04,0.0,0.0,1,2.0,0.0,8.5,0,0,1,0.83,True,0.2,0.0,67.06,0.23,0,0,0,0,5,Crystal Palace,True,Liverpool,3.6,-0.53
Joachim Andersen,Crystal Palace,Liverpool,2023-02-25,True,DC,90,0.0,0.0,0.0,0.0,5,0.0,0.0,2.5,0,1,0,0.9,True,0.2,0.01,68.26,0.29,0,0,0,0,0,Crystal Palace,False,Aston Villa,0.99,0.59
Joachim Andersen,Crystal Palace,Aston Villa,2023-03-04,False,DC,90,0.0,0.09,0.0,0.0,0,1.0,0.0,0.6,0,0,1,1.2,True,1.2,0.01,69.35,0.27,0,0,0,0,1,Crystal Palace,True,Manchester City,-0.0,-1.17
Joachim Andersen,Crystal Palace,Manchester City,2023-03-11,True,DC,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.4,0,0,1,2.14,True,1.2,0.03,70.33,0.25,0,0,0,0,2,Crystal Palace,False,Brighton,,-0.39
Joachim Andersen,Crystal Palace,Brighton,2023-03-15,False,DC,90,0.0,0.04,0.0,0.4,2,1.0,1.0,3.5,0,0,1,0.6,True,1.4,0.03,71.23,0.24,0,0,0,0,0,Crystal Palace,False,Arsenal,1.99,-0.0
Joachim Andersen,Crystal Palace,Arsenal,,False,,0,,,,,0,,,0.0,0,0,0,0.0,False,1.8,0.03,68.13,0.24,0,0,0,0,2,Crystal Palace,True,Leeds United,3.21,-0.79
Joachim Andersen,Crystal Palace,Leeds United,2023-04-01,True,DC,90,0.0,0.06,0.0,0.07,2,3.0,2.0,5.6,0,0,1,0.22,True,1.6,0.03,69.04,0.22,0,0,0,0,2,Crystal Palace,True,Aston Villa,0.32,0.55
Joachim Andersen,Crystal Palace,Aston Villa,2022-08-20,True,DC,90,0.0,0.0,0.0,0.08,2,0.0,1.0,2.9,0,0,1,0.0,False,1.0,0.04,69.88,0.21,0,0,0,0,2,Crystal Palace,False,Leicester City,2.85,-0.05
Joachim Andersen,Crystal Palace,Leicester City,2023-04-09,False,DC,90,0.0,0.01,0.0,0.12,2,1.0,1.0,4.5,0,0,1,0.89,True,1.4,0.02,70.65,0.2,0,0,0,0,5,Crystal Palace,False,Southampton,,-1.07
Joachim Andersen,Crystal Palace,Southampton,2023-04-15,False,DC,90,0.0,0.0,0.0,0.0,5,0.0,0.0,1.1,0,1,0,0.78,True,1.6,0.02,71.37,0.24,0,0,0,0,6,Crystal Palace,True,Everton,-1.9,0.34
Joachim Andersen,Crystal Palace,Everton,2023-04-22,True,DC,90,0.0,0.02,0.0,0.06,6,1.0,2.0,3.9,0,1,0,0.42,True,2.2,0.01,72.04,0.27,0,0,0,0,-1,Crystal Palace,False,Wolverhampton,,-0.46
Joachim Andersen,Crystal Palace,Wolverhampton,2023-04-25,False,DC,45,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0,0,1,0.38,True,3.4,0.02,71.1,0.27,0,0,0,0,1,Crystal Palace,True,West Ham,,0.63
Joachim Andersen,Crystal Palace,West Ham,2023-04-29,True,DC,90,0.0,0.07,0.0,0.0,1,1.0,0.0,3.8,0,0,3,1.86,True,2.8,0.01,71.73,0.26,0,0,0,0,1,Crystal Palace,False,Tottenham,6.04,-0.03
Joachim Andersen,Crystal Palace,Tottenham,2023-05-06,False,DC,90,0.0,0.07,0.0,0.0,1,1.0,0.0,3.0,0,0,1,0.88,True,2.6,0.02,72.32,0.25,0,0,0,0,6,Crystal Palace,True,Bournemouth,,1.46
